ID,Term,Definition (English),Alignment with Battery Passport,Category,용어,정의,배터리 여권 정렬,범주,المصطلح,التعريف,المحاذاة مع جواز السفر للبطارية,الفئة,用語,定義,バッテリーパスポートの整合性,カテゴリ,术语,定义,电池护照一致性,类别,ID
400066,Battery State of Function (SoF),State representing the functionality of a battery relative to its initial performance.,Functionality (SoF),Core Battery Attribute,배터리 기능 상태 (SoF),초기 성능에 비례하여 배터리의 기능 상태를 나타냅니다.,기능 (SoF),핵심 배터리 속성,حالة عمل البطارية (SoF),الحالة التي تمثل وظيفة البطارية مقارنة بأدائها الأولي.,السمة الأساسية للبطارية,السمة الأساسية للبطارية,充電状態 (SoC),現在のバッテリーの充電レベルの測定。,コアバッテリー属性,コアバッテリー属性,充电状态 (SoC),当前电池充电水平的测量。,核心电池属性,核心电池特性,400051
400097,Battery Thermal Insulation,Insulation techniques to manage heat distribution within battery packs.,Thermal Insulation,Safety Standards,배터리 열 절연,배터리 팩 내에서 열 분포를 관리하는 절연 기술입니다.,열 절연,안전 기준,عزل حراري للبطارية,تقنيات العزل لإدارة توزيع الحرارة داخل حزم البطارية.,الوحدة 8 - إدارة البيانات,إدارة البيانات,バッテリー健康推定,バッテリー健康の推定,モジュール8 - データ管理,データ管理,电池健康估算,电池健康估计,模块8 - 数据管理,数据管理,400052
400078,Battery Thermal Stability,Ability of the battery to remain stable at high temperatures.,Thermal Stability Requirement,Safety Standards,배터리 열 안정성,고온에서 배터리가 안정성을 유지할 수 있는 능력입니다.,열 안정성 요구 사항,안전 기준,ثبات حراري البطارية,قدرة البطارية على البقاء مستقرة عند درجات حرارة عالية.,السمة الأساسية للبطارية,السمة الأساسية للبطارية,エネルギー密度,エネルギー密度,コアバッテリー属性,コアバッテリー属性,能量密度,能量密度,核心电池属性,核心电池特性,400053
400041,Battery Toxicity Level,Rating for the toxicity level of battery components to assess environmental and health impacts.,Toxicity Rating,Environmental Impact,배터리 독성 수준,환경 및 건강 영향을 평가하기 위해 배터리 구성 요소의 독성 수준을 평가합니다.,독성 등급,환경 영향,مستوى سمية البطارية,تصنيف لمستوى سمية مكونات البطارية لتقييم التأثيرات البيئية والصحية.,تقييم الأداء,اختبار الأداء,バッテリー性能劣化,バッテリー性能が時間とともに低下する速度。,性能評価,性能テスト,电池性能退化,电池性能随时间的下降速度。,性能评估,性能测试,400054
400082,Battery Ventilation System,System for ventilating gases generated within the battery to prevent pressure build-up.,Ventilation System,Safety Standards,배터리 환기 시스템,배터리 내부에서 생성된 가스를 환기하여 압력 축적을 방지하는 시스템입니다.,환기 시스템,안전 기준,نظام تهوية البطارية,نظام لتهوية الغازات المتولدة داخل البطارية لمنع تراكم الضغط.,التقييم الآلي للجودة,اختبار الأداء,自動バッテリーテスト,バッテリーの品質と性能をテストする自動システム。,自動品質評価,性能テスト,自动电池测试,自动测试电池质量和性能的系统。,自动质量评估,性能测试,400055
400061,Battery Voltage Regulation,Maintaining consistent voltage levels within the battery system.,Voltage Regulation,Performance Testing,배터리 전압 조절,배터리 시스템 내에서 일관된 전압 수준을 유지합니다.,전압 조절,성능 테스트,تنظيم جهد البطارية,الحفاظ على مستويات الجهد المستقرة داخل نظام البطارية.,التوافق الوحدوي,ابتكار التصميم,バッテリーモジュール互換性,さまざまなパック構成におけるバッテリーモジュールの互換性。,モジュール互換性,デザインイノベーション,电池模块兼容性,跨不同的封装配置的电池模块兼容性。,模块兼容性,设计创新,400056
400010,Capacity Measurement,"Measurement of battery capacity, essential for energy storage assessment.",Capacity Standard,Core Battery Attribute,용량 측정,에너지 저장 평가에 필수적인 배터리 용량을 측정합니다.,용량 표준,핵심 배터리 속성,قياس السعة,قياس سعة البطارية، وهو أمر بالغ الأهمية لتقييم تخزين الطاقة,معيار السعة,السمة الأساسية للبطارية,バッテリー容量測定,エネルギー貯蔵評価に重要なバッテリー容量の測定。,容量基準,コアバッテリー属性,电池容量测量,电池容量的测量，对于能源存储评估至关重要。,容量标准,核心电池特性,400057
400031,Carbon Footprint,"Measures the total greenhouse gas emissions throughout production, use, and end-of-life phases.",Sustainability - Carbon Reporting,Sustainability Standards,탄소 발자국,"생산, 사용, 수명 종료 단계 전반에서 총 온실가스 배출량을 측정합니다.",지속 가능성 - 탄소 보고,지속 가능성 표준,البصمة الكربونية,البصمة الكربونية,معيار الجهد,اختبار الأداء,バッテリーパック電圧,バッテリーパックの総電圧出力の測定。,電圧基準,性能テスト,电池组电压,电池组的总电压输出测量。,电压标准,性能测试,400058
400011,Cathode Active Material,"Key material in the battery's cathode, crucial for energy storage and battery chemistry.",Core Battery Attribute,Core Material,양극 활성 물질,에너지 저장 및 배터리 화학에 중요한 배터리 양극의 주요 재료입니다.,핵심 배터리 속성,핵심 재료,مادة القطب الموجب النشطة,المادة الأساسية في الكاثود للبطارية، وهي مهمة لتخزين الطاقة وكيمياء البطارية.,كفاءة الوحدة,اختبار الأداء,バッテリーモジュール効率,バッテリーパック内のモジュールレベルでのエネルギー効率の測定。,モジュール効率,性能テスト,电池模块效率,在电池组内测量模块级的能量效率。,模块效率,性能测试,400059
400068,Cell Quality Assurance,Verification process for ensuring high-quality battery cells.,Quality Control Process,Quality Assurance,셀 품질 보증,고품질 배터리 셀을 보장하기 위한 검증 과정입니다.,품질 관리 프로세스,품질 보증,ضمان جودة الخلية,عملية التحقق لضمان جودة عالية لخلايا البطارية,معيار اختبار المتانة,ضمان الجودة,バッテリー耐久性試験,バッテリーセルおよびモジュールの長期耐久性を確保するためのテスト手順。,耐久性試験基準,品質保証,电池耐久性测试,确保电池单元和模块长期耐用性的测试程序。,耐久性测试标准,质量保证,400060
400112,Charge Acceptance,"The rate at which a battery can accept a charge, often influenced by temperature and state of health.",Charge Acceptance Capability,Core Battery Attribute,충전 수용률,온도와 건강 상태에 따라 달라지는 배터리의 충전 수용률입니다.,충전 수용 능력,핵심 배터리 속성,قبول الشحن,معدل قبول الشحن للبطارية، غالبًا ما يتأثر بدرجة الحرارة وحالة الصحة.,نظام مراقبة الصحة,إدارة البيانات,バッテリー健康監視システム,バッテリーの健康状態をリアルタイムで監視するシステム。,健康モニタリングシステム,データ管理,电池健康监测系统,实时监控电池健康的系统。,健康监测系统,数据管理,400062
400072,Chemistry Profile,"Details chemical composition, critical for identifying battery types and safety requirements.",Core Battery Attribute,Core Material,화학 프로파일,배터리 유형과 안전 요구 사항을 식별하는 데 중요한 화학 성분 세부 정보입니다.,핵심 배터리 속성,핵심 재료,الملف الكيميائي,الملف الكيميائي,تحليل الأداء,اختبار الأداء,バッテリー性能分析,バッテリー全体の性能と効率を評価するための分析技術。,性能分析,性能テスト,电池性能分析,用于评估整体电池性能和效率的分析技术。,性能分析,性能测试,400063
400012,Critical Minerals Content,"Content of critical minerals like cobalt, lithium, and nickel in the battery.",Critical Minerals Documentation,Core Material,중요한 광물 함량,"배터리에 포함된 코발트, 리튬, 니켈 등 중요한 광물의 함량입니다.",중요 광물 문서화,핵심 재료,محتوى المعادن الحرجة,محتوى المعادن الحيوية مثل الكوبالت والليثيوم والنيكل في البطارية.,معدل الشحن السريع,اختبار الأداء,バッテリー急速充電率,高速充電アプリケーションでバッテリーを充電できる速度。,急速充電率,性能テスト,电池快速充电速率,电池在快速充电应用中的充电速度。,快速充电率,性能测试,400064
400108,Cycle Life,The number of complete charge and discharge cycles a battery can undergo before its capacity falls below a certain percentage of its original capacity.,Cycle Life Standard,Core Battery Attribute,수명 주기,배터리의 용량이 초기 용량의 일정 비율 이하로 감소하기 전까지의 완전 충전 및 방전 사이클 수입니다.,주기 수명 표준,핵심 배터리 속성,عمر الدورة,عدد دورات الشحن والتفريغ الكاملة التي يمكن للبطارية تحملها قبل أن تنخفض سعتها إلى ما دون نسبة معينة من سعتها الأصلية.,قياس كثافة الطاقة,السمة الأساسية للبطارية,バッテリー電力密度,バッテリーの効率に影響する単位体積あたりの出力の測定。,電力密度測定,コアバッテリー属性,电池功率密度,影响电池效率的单位体积功率测量。,功率密度测量,核心电池特性,400065
400109,Depth of Discharge (DoD),The percentage of battery capacity that has been discharged relative to the total capacity.,Depth of Discharge Tracking,Core Battery Attribute,방전 깊이 (DoD),전체 용량에 대한 방전된 배터리 용량의 비율입니다.,방전 깊이 추적,핵심 배터리 속성,عمق التفريغ (DoD),النسبة المئوية لسعة البطارية التي تم تفريغها بالنسبة إلى السعة الإجمالية.,الوظائف (SoF),السمة الأساسية للبطارية,バッテリー機能状態 (SoF),初期性能に対するバッテリーの機能性を表す状態。,機能性 (SoF),コアバッテリー属性,电池功能状态 (SoF),相对于初始性能的电池功能状态。,功能性 (SoF),核心电池特性,400066
400014,Digital Product Passport (DPP),"Digital document consolidating essential battery lifecycle data, from production to disposal, meeting EU DPP requirements.",Core DPP Requirement,Data Management,디지털 제품 여권 (DPP),생산에서 폐기까지 배터리 수명 주기 데이터를 통합한 디지털 문서로 EU DPP 요구 사항을 충족합니다.,핵심 DPP 요건,데이터 관리,جواز السفر الرقمي للمنتج,جواز السفر الرقمي للمنتجات,ملف الشحن,اختبار الأداء,バッテリー充電プロファイル,バッテリーの充電特性を示すプロファイル。,充電プロファイル,性能テスト,电池充电特性曲线,概述电池充电特性的配置文件。,充电曲线,性能测试,400067
400018,Digital Twin for Battery Tracking,Digital representation of the battery for monitoring and lifecycle management.,Digital Product Passport Requirement,Data Management,배터리 추적을 위한 디지털 트윈,모니터링 및 수명 주기 관리를 위한 배터리의 디지털 표현입니다.,디지털 제품 여권 요건,데이터 관리,التوأم الرقمي لتتبع البطارية,تمثيل رقمي للبطارية لمراقبة وإدارة دورة حياتها.,عملية مراقبة الجودة,ضمان الجودة,セル品質保証,高品質なバッテリーセルを確保するための検証プロセス,品質管理プロセス,品質保証,电芯质量保证,确保高质量电池单元的验证过程,质量控制流程,质量保证,400068
400008,Electric Vehicle Battery Standard,Standards specifically addressing battery requirements for electric vehicles.,Electric Vehicle Standards,Compliance,전기차 배터리 표준,전기차 배터리에 대한 요구 사항을 충족하기 위한 특정 기준입니다.,전기차 표준,준수,معيار بطارية المركبات الكهربائية,معايير تتناول بشكل خاص متطلبات البطاريات للمركبات الكهربائية.,عملية مراقبة الجودة,ضمان الجودة,セル品質保証,高品質なバッテリーセルを確保するための検証プロセス。,品質管理プロセス,品質保証,电芯质量保证,确保高质量电池单元的验证过程。,质量控制流程,质量保证,400069
400080,Electrochemical Stability,Ability to maintain electrochemical stability under stress and temperature variations.,Electrochemical Stability,Safety Standards,전기화학적 안정성,스트레스와 온도 변동 하에서 전기화학적 안정성을 유지하는 능력입니다.,전기화학적 안정성,안전 기준,الثبات الكهروكيميائي,القدرة على الحفاظ على الاستقرار الكهروكيميائي تحت الضغط وتغيرات الحرارة.,إدارة الجودة,ضمان الجودة,バッテリー品質管理システム,バッテリー製造において一貫した品質を確保するためのシステム。,品質管理,品質保証,电池质量管理系统,确保电池制造质量一致的系统。,质量管理,质量保证,400070
400075,Electrolyte Composition,"Composition of the electrolyte solution in the battery, essential for performance and safety.",Safety Compliance,Core Material,전해질 구성,성능과 안전에 필수적인 배터리의 전해질 용액 구성을 설명합니다.,안전 준수,핵심 재료,تركيب الإلكتروليت,تركيب المحلول الإلكتروليتي في البطارية، وهو أساسي للأداء والسلامة.,التوافق مع معايير السلامة,معايير السلامة,サーマルランナウェイ,内部加熱により自己持続的な熱反応が発生するバッテリーの故障モード,安全基準の遵守,安全基準,热失控,电池的故障模式，其中内部加热导致自持热反应,安全合规性,安全标准,400071
400027,Electrolyte Recycling Process,Processes to recycle electrolytes from batteries at end-of-life.,Electrolyte Recycling,End-of-Life,전해질 재활용 공정,수명 종료 시점에서 배터리에서 전해질을 재활용하는 과정입니다.,전해질 재활용,수명 종료,عملية إعادة تدوير الإلكتروليت,عمليات لإعادة تدوير الإلكتروليتات من البطاريات عند نهاية عمرها.,السمة الأساسية للبطارية,المادة الأساسية,化学プロファイル,化学プロファイル,コアバッテリー属性,コア材料,化学特性,化学成分简介,核心电池属性,核心材料,400072
400003,Emission Control Compliance,Compliance with specific standards to limit emissions during production.,Sustainability - Emission Standards,Compliance,배출 제어 준수,생산 중 배출을 제한하기 위한 특정 기준을 준수합니다.,지속 가능성 - 배출 기준,준수,الامتثال للتحكم في الانبعاثات,الامتثال للسيطرة على الانبعاثات,الوحدة 9 - الامتثال للسلامة,معايير السلامة,安全インシデント記録,安全事故記録,モジュール9 - 安全基準の遵守,安全基準,安全事故记录,安全事故记录,模块9 - 安全合规性,安全标准,400073
400044,End-of-Life (EOL),"Refers to battery management at the end of its lifecycle, including recycling or repurposing.",Core Lifecycle Requirement,End-of-Life,수명 종료 (EOL),"수명 주기 종료 시점에서의 배터리 관리에 해당하며, 재활용 또는 재사용을 포함합니다.",핵심 수명 주기 요건,수명 종료,نهاية الحياة (EOL),نهاية العمر,الوحدة 9 - الامتثال للسلامة,معايير السلامة,サーマルランナウェイ防止,熱暴走防止,モジュール9 - 安全基準の遵守,安全基準,热失控预防,热失控防护,模块9 - 安全合规性,安全标准,400074
400087,End-of-Life Resource Recovery,Process of recovering valuable materials from batteries at the end of their lifecycle.,End-of-Life - Resource Recovery,Lifecycle Management,수명 종료 자원 회수,배터리 수명 종료 시점에서 가치 있는 자원을 회수하는 과정입니다.,수명 종료 - 자원 회수,수명 주기 관리,استرداد الموارد في نهاية الحياة,عملية استرداد المواد القيمة من البطاريات في نهاية دورة حياتها.,التوافق مع معايير السلامة,المادة الأساسية,電解質組成,性能と安全性に不可欠なバッテリー内の電解質溶液の構成。,安全基準の遵守,コア材料,电解质成分,电池中电解质溶液的组成，对于性能和安全至关重要。,安全合规性,核心材料,400075
400016,End-User Traceability,Ability to trace battery usage and condition through its end users.,Data Traceability,Traceability,최종 사용자 추적성,최종 사용자를 통해 배터리의 사용 및 상태를 추적할 수 있는 기능입니다.,데이터 추적성,추적성,تتبع المستخدم النهائي,القدرة على تتبع استخدام البطارية وحالتها من خلال المستخدمين النهائيين.,الوحدة 9 - الامتثال للمواد الخطرة,معايير السلامة,バッテリー危険評価,異なる条件下でのバッテリーに関連する潜在的な危険性を評価する。,モジュール9 - 危険物質の遵守,安全基準,电池危害评估,评估在不同条件下与电池相关的潜在危险性。,模块9 - 危害物质合规性,安全标准,400076
400009,Energy Density,"Measurement of energy storage per unit weight or volume, affecting capacity and efficiency.",Battery Efficiency Standard,Core Battery Attribute,에너지 밀도,단위 중량 또는 부피당 에너지 저장을 측정하여 용량과 효율성에 영향을 미칩니다.,배터리 효율 표준,핵심 배터리 속성,كثافة الطاقة,قياس تخزين الطاقة لكل وحدة وزن أو حجم، مما يؤثر على السعة والكفاءة,الوحدة 9 - مراقبة السلامة,معايير السلامة,安全監視システム,バッテリーの安全性指標を継続的に監視するシステム。,モジュール9 - 安全モニタリング,安全基準,安全监控系统,连续监控电池安全指标的系统。,模块9 - 安全监控,安全标准,400077
400084,Energy Recovery,"Process of reclaiming energy during the battery lifecycle, often during recycling.",Sustainability - Energy Recovery,Sustainability Standards,에너지 회수,"배터리 수명 주기 동안 에너지를 회수하는 과정으로, 종종 재활용 중에 발생합니다.",지속 가능성 - 에너지 회수,지속 가능성 표준,استرداد الطاقة,عملية استعادة الطاقة خلال دورة حياة البطارية، غالبًا أثناء إعادة التدوير.,متطلبات السلامة من الحرائق,معايير السلامة,バッテリー耐火性,不利な条件下での燃焼に対するバッテリーの耐性。,防火の要件,安全基準,电池耐火性,在不利条件下电池的耐燃性。,防火要求,安全标准,400079
400033,Environmental Footprint (EF),"Broader assessment of environmental impacts, covering water, land use, and emissions.",Sustainability - Environmental Impact,Sustainability Standards,환경 발자국 (EF),"물, 토지 사용 및 배출을 포함한 환경 영향의 폭넓은 평가입니다.",지속 가능성 - 환경 영향,지속 가능성 표준,البصمة البيئية (EF),البصمة البيئية,الاستقرار الكهروكيميائي,معايير السلامة,電気化学的安定性,ストレスと温度変動の下での電気化学的安定性を維持する能力。,電気化学的安定性,安全基準,电化学稳定性,在应力和温度变化下保持电化学稳定性的能力。,电化学稳定性,安全标准,400080
400024,Fast Charging Compatibility,Compatibility of the battery with fast charging systems.,Fast Charging Standard,Performance Testing,고속 충전 호환성,배터리가 고속 충전 시스템과의 호환성을 갖도록 합니다.,고속 충전 표준,성능 테스트,توافق الشحن السريع,التوافق مع أنظمة الشحن السريع للبطارية.,مقاومة الصدمات,معايير السلامة,バッテリー耐衝撃性,輸送および使用中の物理的衝撃に対するバッテリーの耐性。,衝撃耐性,安全基準,电池抗冲击性,电池在运输和使用过程中抵抗物理冲击的能力。,抗震性,安全标准,400081
400116,Flexible Battery Design,Battery design allowing for bending or shaping for various applications.,Flexible Battery Design Standards,Design Innovation,유연한 배터리 설계,다양한 용도에 맞게 구부리거나 성형할 수 있는 배터리 설계입니다.,유연한 배터리 설계 표준,디자인 혁신,تصميم البطارية المرن,تصميم البطارية الذي يسمح بالثني أو التشكيل للتطبيقات المختلفة.,نظام التهوية,معايير السلامة,バッテリー換気システム,バッテリー内で発生するガスを排出し、圧力の蓄積を防ぐシステム。,換気システム,安全基準,电池通风系统,用于排出电池内产生的气体以防止压力积聚的系统。,通风系统,安全标准,400082
400106,Global Supply Chain Transparency,Transparency across the global supply chain for tracking materials and processes.,Global Supply Chain Transparency,Compliance,글로벌 공급망 투명성,자원과 공정을 추적하기 위한 글로벌 공급망 투명성입니다.,글로벌 공급망 투명성,준수,شفافية سلسلة التوريد العالمية,الشفافية عبر سلسلة التوريد العالمية لتتبع المواد والعمليات.,إدارة الموارد المستدامة,معايير الاستدامة,資源効率,資源効率,持続可能な資源管理,持続可能性基準,资源效率,资源利用效率,可持续资源管理,可持续性标准,400083
400007,Hazardous Materials Compliance,Compliance with standards limiting the use of hazardous materials in batteries.,Hazardous Materials Standards,Safety Standards,유해 물질 준수,배터리에서 유해 물질 사용을 제한하는 기준을 준수합니다.,유해 물질 표준,안전 표준,الامتثال للمواد الخطرة,الامتثال للمعايير التي تحد من استخدام المواد الخطرة في البطاريات.,استرداد الطاقة,معايير الاستدامة,エネルギー回収,バッテリーライフサイクル中にエネルギーを回収するプロセス、特にリサイクル中。,エネルギー回収,持続可能性基準,能量回收,在电池生命周期中恢复能量的过程，通常在回收过程中。,能量回收,可持续性标准,400084
400111,Internal Resistance,"The opposition within the battery to the flow of current, which affects energy efficiency and heat generation.",Efficiency Assessment,Thermal Management,내부 저항,에너지 효율과 열 생성에 영향을 미치는 전류 흐름에 대한 배터리 내부 저항입니다.,효율 평가,열 관리,المقاومة الداخلية,المقاومة داخل البطارية لتدفق التيار، مما يؤثر على كفاءة الطاقة وتوليد الحرارة.,إمكانات إعادة الاستخدام,معايير الاستدامة,バッテリー再利用可能性,ライフサイクルを延ばすため、初回使用後にバッテリーを再利用する可能性。,再利用の可能性,持続可能性基準,电池再利用潜力,在其初次应用后重复使用电池的潜力，从而延长其生命周期。,再利用潜力,可持续性标准,400085
400037,Lifecycle Carbon Emissions,"Total carbon emissions associated with the battery over its lifecycle, including production and disposal.",Lifecycle Assessment - Carbon Reporting,Sustainability Standards,수명 주기 탄소 배출,생산 및 폐기 과정을 포함하여 배터리의 전체 수명 주기 동안의 탄소 배출량입니다.,수명 주기 평가 - 탄소 보고,지속 가능성 표준,انبعاثات الكربون على مدى دورة الحياة,إجمالي انبعاثات الكربون المرتبطة بالبطارية على مدار دورة حياتها، بما في ذلك الإنتاج والتخلص.,نسبة المحتوى المتجدد,معايير الاستدامة,再生可能コンテンツ比率,バッテリー製造に使用される再生可能資源の比率。,再生可能コンテンツ比率,持続可能性基準,可再生含量比率,电池生产中使用的可再生资源比例。,可再生内容比率,可持续性标准,400086
400038,Lifecycle Impact Assessment,Evaluation of environmental impacts associated with the entire battery lifecycle.,Sustainability - Lifecycle Assessment,Sustainability Standards,수명 주기 영향 평가,배터리 전체 수명 주기와 관련된 환경 영향을 평가합니다.,지속 가능성 - 수명 주기 평가,지속 가능성 표준,تقييم التأثير على مدى دورة الحياة,تقييم التأثيرات البيئية المرتبطة بدورة حياة البطارية بأكملها.,استرداد الموارد في نهاية الحياة,إدارة دورة الحياة,エンドオブライフ資源回収,バッテリーライフサイクルの終わりに貴重な材料を回収するプロセス。,エンドオブライフ - 資源回収,ライフサイクル管理,寿命终止资源回收,从生命周期结束的电池中回收有价值材料的过程。,寿命终止 - 资源回收,生命周期管理,400087
400004,Manufacturing Traceability,Tracking the production history and origin of battery materials.,Module 7 - Traceability,Traceability,제조 추적성,배터리 재료의 생산 이력 및 출처를 추적합니다.,모듈 7 - 추적성,추적성,تتبع التصنيع,تتبع تاريخ الإنتاج وأصل مواد البطارية.,تتبع انبعاثات الكربون,معايير الاستدامة,サプライチェーンCO2トラッキング,バッテリー供給チェーン全体のCO2排出量の追跡。,炭素排出量の追跡,持続可能性基準,供应链CO2跟踪,沿电池供应链跟踪CO2排放量。,碳排放跟踪,可持续性标准,400088
400093,Manufacturing Waste Reduction,Strategies to reduce waste generated during the battery manufacturing process.,Manufacturing Waste Reduction,Sustainability Standards,제조 폐기물 감소,배터리 제조 과정에서 발생하는 폐기물을 줄이기 위한 전략입니다.,제조 폐기물 감소,지속 가능성 표준,تقليل النفايات في التصنيع,استراتيجيات لتقليل النفايات الناتجة أثناء عملية تصنيع البطارية.,تقرير دورة الحياة,إدارة دورة الحياة,バッテリーライフサイクル報告,バッテリーライフサイクル全体での環境および性能側面をカバーするレポート。,ライフサイクル報告,ライフサイクル管理,电池生命周期报告,涵盖整个电池生命周期的环境和性能方面的报告。,生命周期报告,生命周期管理,400089
400035,Material Recovery Rate,Percentage of raw materials recovered during battery recycling processes.,Sustainability - Recycling,Sustainability Standards,자재 회수율,배터리 재활용 과정에서 회수되는 원자재의 비율입니다.,지속 가능성 - 재활용,지속 가능성 표준,معدل استرداد المواد,معدل استرداد المواد,التصميم لإعادة التدوير,معايير الاستدامة,リサイクル対応バッテリーデザイン,バッテリーをリサイクルしやすくする設計上の考慮事項。,リサイクル対応設計,持続可能性基準,电池设计以便于回收,使电池更易于回收的设计考量。,循环设计,可持续性标准,400090
400025,Modular Battery Design,Design enabling replacement of battery modules to extend overall battery life.,Modular Lifecycle Extension,Design Innovation,모듈형 배터리 설계,배터리의 수명을 연장하기 위해 모듈을 교체할 수 있는 설계입니다.,모듈형 수명 연장,디자인 혁신,تصميم البطارية المعياري,تصميم يمكّن من استبدال وحدات البطارية لإطالة عمر البطارية الكلي.,إعادة استخدام المواد الخام,نهاية العمر الافتراضي,バッテリー原材料の再利用,バッテリーのリサイクルプロセス中に回収された原材料の再利用。,原材料の再利用,廃棄後,电池原材料再利用,在电池回收过程中重新利用回收的原材料。,原材料再利用,寿命终止,400091
400100,Module Identification Number,"Unique identifier for battery modules, aiding in traceability.",Module Traceability,Traceability,모듈 식별 번호,"배터리 모듈의 고유 식별 번호로, 추적성을 지원합니다.",모듈 추적성,추적성,رقم تعريف الوحدة,معرف فريد لوحدات البطارية، مما يساعد في إمكانية التتبع.,التوافق مع الاقتصاد الدائري,معايير الاستدامة,バッテリーの循環経済,バッテリー部品が廃棄後に生産サイクルに再び入る概念。,循環経済の遵守,持続可能性基準,电池循环经济,确保电池组件在处置后重新进入生产循环的概念。,循环经济合规性,可持续性标准,400092
400110,Nominal Voltage,The voltage a battery typically operates at during discharge.,Nominal Voltage Compliance,Core Battery Attribute,공칭 전압,방전 중에 배터리가 일반적으로 작동하는 전압입니다.,명목 전압 준수,핵심 배터리 속성,الجهد الاسمي,الجهد الذي تعمل به البطارية عادةً أثناء التفريغ.,تقليل النفايات في التصنيع,معايير الاستدامة,製造廃棄物削減,バッテリー製造プロセスで生成される廃棄物を削減するための戦略。,製造廃棄物の削減,持続可能性基準,制造废物减少,减少电池制造过程中产生的废物的策略。,制造废物减少,可持续性标准,400093
400101,Primary Raw Materials Origin,Documentation of the source of primary materials used in battery production.,Material Origin Documentation,Traceability,주요 원자재 출처,배터리 생산에 사용되는 주요 원자재의 출처를 문서화합니다.,재료 원산지 문서화,추적성,أصل المواد الخام الأساسية,توثيق مصدر المواد الأولية المستخدمة في إنتاج البطاريات.,قابلية الإصلاح,ضمان الجودة,バッテリー修理可能性スコア,バッテリーコンポーネントの修理のしやすさを評価するスコア。,修理可能性,品質保証,电池可修复性评分,评估电池组件易于维修的得分。,可修复性,质量保证,400094
400017,Production Data Transparency,Transparency of data related to the battery's production process.,Transparency in Production,Data Management,생산 데이터 투명성,배터리의 생산 과정과 관련된 데이터 투명성입니다.,생산의 투명성,데이터 관리,شفافية بيانات الإنتاج,شفافية البيانات المتعلقة بعملية إنتاج البطارية.,الحفاظ على الموارد,معايير الاستدامة,バッテリー資源保存,バッテリー製造および処分においてリソースを保全するための実践。,資源保全,持続可能性基準,电池资源保护,在电池生产和处置中节约资源的做法。,资源保护,可持续性标准,400095
400015,QR Code for DPP Access,"Scannable code providing access to Digital Product Passport information, supporting data traceability.",Core DPP Requirement,Data Management,DPP 액세스를 위한 QR 코드,데이터 추적을 지원하는 디지털 제품 여권 정보에 접근할 수 있는 스캔 가능한 코드입니다.,핵심 DPP 요건,데이터 관리,رمز QR للوصول إلى جواز السفر الرقمي للمنتج,رمز QR للوصول إلى جواز السفر الرقمي,نظام إدارة الحرارة,معايير السلامة,熱管理システム,過熱を防ぐためにバッテリー温度を管理するシステム。,熱管理システム,安全基準,热管理系统,管理电池温度以防止过热的系统。,热管理系统,安全标准,400096
400032,Recyclability Rate,"Percentage of battery materials that can be recycled, supporting circular economy goals.",Sustainability - Recycling,Sustainability Standards,재활용 가능률,순환 경제 목표를 지원하기 위해 재활용 가능한 배터리 자재의 비율입니다.,지속 가능성 - 재활용,지속 가능성 표준,معدل إعادة التدوير,معدل القابلية لإعادة التدوير,العزل الحراري,معايير السلامة,バッテリーの熱絶縁,バッテリーパック内の熱分布を管理するための断熱技術。,熱絶縁,安全基準,电池热绝缘,管理电池组内热分布的隔热技术。,热绝缘,安全标准,400097
400086,Renewable Content Ratio,Proportion of materials from renewable sources used in battery production.,Sustainability - Renewable Content,Sustainability Standards,재생 가능 자원 비율,배터리 생산에서 재생 가능한 원자재의 비율입니다.,지속 가능성 - 재생 가능 자원 비율,지속 가능성 표준,نسبة المحتوى المتجدد,نسبة المواد من مصادر متجددة المستخدمة في إنتاج البطارية.,تقنية التبريد,إدارة الحرارة,バッテリー冷却技術,過熱を防ぐためにバッテリーを冷却するための技術。,冷却技術,熱管理,电池冷却技术,用于在操作过程中冷却电池以防止过热的技术。,冷却技术,热管理,400098
400083,Resource Efficiency,"Measures efficiency of resource use in battery production, contributing to sustainability goals.",Sustainability - Resource Management,Sustainability Standards,자원 효율성,배터리 생산에서 자원의 사용 효율을 측정하여 지속 가능성 목표에 기여합니다.,지속 가능성 - 자원 관리,지속 가능성 표준,كفاءة الموارد,كفاءة الموارد,تتبع الكيمياء والمواد,التتبع,バッテリーの化学追跡,バッテリー化学成分の出所と生産履歴の追跡と記録。,化学および材料の追跡性,トレーサビリティ,电池化学追溯,跟踪并记录电池化学成分的来源和生产历史。,化学和材料追踪,可追溯性,400099
400073,Safety Incident Record,"Record of any safety incidents involving the battery, required for compliance and risk assessment.",Module 9 - Safety Compliance,Safety Standards,안전 사고 기록,준수 및 위험 평가를 위해 배터리 관련 안전 사고의 기록입니다.,모듈 9 - 안전 준수,안전 기준,سجل الحوادث المتعلقة بالسلامة,سجل الحوادث السلامة,تتبع الوحدات,التتبع,モジュール識別番号,バッテリーモジュールのトレーサビリティを支援する固有識別子。,モジュールの追跡性,トレーサビリティ,模块识别号,用于帮助追踪电池模块的唯一标识符。,模块追踪,可追溯性,400100
